"run_id","trt","poiss_ds","fold_chg","eff_siz","trt_middleqi","trt_upperqi","nc_middleqi","nc_upperqi"
"SC12","cmp3689",5.26,1.9,79.37,149.43,161.85,70.06,78.63
"SC20","cmp2580",5.25,2.26,64.4,104.02,114.41,39.61,46.12
"SC20","cmp3955",5.2,2.24,63.52,103.13,113.48,39.61,46.12
"SC20","cmp7315",5.19,2.24,63.49,103.1,113.45,39.61,46.12
"SC17","cmp5705",5.14,3.69,42.93,53.98,61.53,11.05,14.62
"SC10","cmp1754",5.1,3.21,45.7,60.42,68.4,14.72,18.8
"SC20","cmp7163",5.09,2.2,61.88,101.49,111.76,39.61,46.12
"SC10","cmp4090",5.06,3.18,45.12,59.84,67.78,14.72,18.8
"SC7","cmp3232",5.06,4.74,37.36,43.79,50.62,6.43,9.25
"SC20","cmp5449",4.99,2.17,60.32,99.94,110.13,39.61,46.12
"SC17","cmp8978",4.98,3.56,40.98,52.03,59.45,11.05,14.62
"SC12","cmp3514",4.97,1.83,73.99,144.05,156.24,70.06,78.63
"SC20","cmp4446",4.97,2.16,60.03,99.65,109.82,39.61,46.12
"SC19","poscon",4.95,8.75,30.6,32.55,38.47,1.95,3.72
"SC20","cmp3185",4.94,2.15,59.6,99.21,109.36,39.61,46.12
"SC3","poscon",4.9,4.74,35.07,40.99,47.61,5.93,8.65
"SC16","cmp4861",4.87,3.13,42.13,56.06,63.75,13.93,17.9
"SC12","cmp7065",4.86,1.81,72.04,142.1,154.21,70.06,78.63
"SC6","poscon",4.83,3.62,38.23,48.13,55.28,9.9,13.31
"SC10","cmp5704",4.8,3.01,41.91,56.62,64.35,14.72,18.8
"SC12","cmp2327",4.79,1.79,70.83,140.89,152.95,70.06,78.63
"SC10","cmp6084",4.74,2.98,41.29,56.01,63.7,14.72,18.8
"SC18","cmp1573",4.67,5.14,30.84,35.29,41.45,4.45,6.86
"SC20","cmp5195",4.67,2.06,55.52,95.13,105.08,39.61,46.12
"SC20","cmp8227",4.61,2.04,54.54,94.15,104.05,39.61,46.12
"SC6","cmp8057",4.61,3.43,35.78,45.68,52.65,9.9,13.31
"SC20","cmp768",4.6,2.04,54.46,94.07,103.97,39.61,46.12
"SC10","cmp94",4.58,2.87,39.32,54.04,61.59,14.72,18.8
"SC20","cmp4551",4.57,2.03,53.99,93.6,103.47,39.61,46.12
"SC20","cmp1505",4.54,2.02,53.53,93.14,102.99,39.61,46.12
"SC20","cmp3928",4.53,2.02,53.45,93.06,102.91,39.61,46.12
"SC20","cmp1888",4.49,2.01,52.9,92.51,102.32,39.61,46.12
"SC7","cmp3468",4.48,4.05,31.01,37.44,43.77,6.43,9.25
"SC17","cmp9561",4.44,3.14,34.84,45.88,52.87,11.05,14.62
"SC12","cmp794",4.43,1.71,64.64,134.71,146.5,70.06,78.63
"SC20","cmp8570",4.4,1.98,51.58,91.2,100.94,39.61,46.12
"SC20","cmp4712",4.4,1.98,51.59,91.2,100.94,39.61,46.12
"SC17","cmp404",4.38,3.1,34.22,45.27,52.2,11.05,14.62
"SC20","cmp9625",4.38,1.97,51.19,90.8,100.52,39.61,46.12
"SC20","cmp3457",4.35,1.96,50.84,90.45,100.16,39.61,46.12
"SC20","cmp8147",4.31,1.95,50.26,89.87,99.55,39.61,46.12
"SC17","cmp9554",4.29,3.03,33.23,44.28,51.14,11.05,14.62
"SC10","cmp2051",4.27,2.68,35.7,50.42,57.72,14.72,18.8
"SC7","cmp5394",4.27,3.82,28.9,35.33,41.49,6.43,9.25
"SC12","cmp8159",4.26,1.67,61.64,131.7,143.37,70.06,78.63
"SC1","poscon",4.25,5.09,25.66,29.19,34.81,3.53,5.73
"SC20","cmp1066",4.22,1.92,49.01,88.62,98.23,39.61,46.12
"SC20","cmp8258",4.21,1.92,48.87,88.49,98.09,39.61,46.12
"SC17","cmp5578",4.2,2.96,32.28,43.32,50.11,11.05,14.62
"SC12","cmp9411",4.19,1.66,60.4,130.46,142.07,70.06,78.63
"SC12","cmp6817",4.17,1.66,60.22,130.28,141.89,70.06,78.63
"SC10","cmp1422",4.16,2.62,34.46,49.18,56.39,14.72,18.8
"SC16","cmp9383",4.1,2.64,33.33,47.25,54.34,13.93,17.9
"SC20","cmp437",4.1,1.88,47.2,86.81,96.32,39.61,46.12
"SC7","cmp3706",4.1,3.64,27.26,33.69,39.71,6.43,9.25
"SC12","cmp5603",4.08,1.64,58.59,128.66,140.19,70.06,78.63
"SC12","cmp9588",4.07,1.63,58.41,128.48,140,70.06,78.63
"SC20","cmp4647",4.06,1.87,46.74,86.35,95.84,39.61,46.12
"SC20","cmp980",4.05,1.87,46.63,86.24,95.72,39.61,46.12
"SC20","cmp3740",4.03,1.86,46.21,85.82,95.28,39.61,46.12
"SC9","cmp8986",4.03,2.27,36.62,57.01,64.76,20.39,25.13
"SC7","cmp6191",3.98,3.52,26.07,32.51,38.42,6.43,9.25
"SC12","cmp28",3.96,1.61,56.6,126.66,138.11,70.06,78.63
"SC18","cmp8744",3.94,4.12,23.8,28.25,33.78,4.45,6.86
"SC10","cmp62",3.93,2.48,31.98,46.7,53.74,14.72,18.8
"SC17","cmp8230",3.93,2.76,29.36,40.41,46.98,11.05,14.62
"SC20","cmp7241",3.93,1.83,44.86,84.47,93.86,39.61,46.12
"SC10","cmp3240",3.92,2.48,31.83,46.55,53.58,14.72,18.8
"SC15","cmp852",3.9,3.83,23.98,29.02,34.63,5.04,7.58
"SC12","cmp9361",3.89,1.6,55.52,125.59,136.98,70.06,78.63
"SC9","cmp7629",3.88,2.2,34.94,55.33,62.97,20.39,25.13
"SC17","cmp7759",3.87,2.73,28.81,39.85,46.38,11.05,14.62
"SC10","cmp5308",3.85,2.44,31.09,45.8,52.78,14.72,18.8
"SC16","cmp8494",3.85,2.49,30.63,44.56,51.44,13.93,17.9
"SC20","cmp4076",3.85,1.81,43.82,83.43,92.76,39.61,46.12
"SC20","cmp8173",3.85,1.81,43.84,83.45,92.78,39.61,46.12
"SC20","cmp4474",3.84,1.81,43.66,83.27,92.59,39.61,46.12
"SC10","cmp557",3.82,2.42,30.82,45.54,52.5,14.72,18.8
"SC17","cmp184",3.82,2.69,28.28,39.33,45.81,11.05,14.62
"SC20","cmp401",3.81,1.8,43.25,82.86,92.16,39.61,46.12
"SC20","cmp1869",3.79,1.79,42.98,82.59,91.88,39.61,46.12
"SC7","cmp6435",3.79,3.33,24.34,30.77,36.53,6.43,9.25
"SC20","cmp3340",3.77,1.78,42.66,82.27,91.54,39.61,46.12
"SC15","cmp485",3.75,3.66,22.7,27.74,33.23,5.04,7.58
"SC9","cmp2791",3.75,2.14,33.43,53.82,61.36,20.39,25.13
"SC12","cmp8647",3.74,1.56,52.99,123.06,134.34,70.06,78.63
"SC7","cmp5243",3.74,3.27,23.83,30.26,35.98,6.43,9.25
"SC12","cmp2838",3.73,1.56,52.83,122.9,134.17,70.06,78.63
"SC12","cmp2667",3.72,1.56,52.7,122.76,134.03,70.06,78.63
"SC20","cmp5532",3.72,1.77,41.94,81.56,90.78,39.61,46.12
"SC20","cmp4161",3.7,1.76,41.7,81.31,90.53,39.61,46.12
"SC12","cmp869",3.69,1.55,52.11,122.17,133.42,70.06,78.63
"SC9","cmp4546",3.67,2.1,32.48,52.86,60.34,20.39,25.13
